genre,color,size,left,top
paidika tragoudia,"rgb(116, 151, 39)",100%,1036px,8539px
greek techno,"rgb(187, 141, 211)",100%,1208px,730px
organic electronic,"rgb(160, 151, 179)",102%,1252px,1392px
ancient mediterranean,"rgb(57, 169, 148)",100%,827px,14093px
breakcore,"rgb(197, 103, 136)",100%,814px,3326px
downtempo bass,"rgb(160, 143, 140)",101%,953px,3057px
bitpop,"rgb(192, 128, 101)",101%,690px,2090px
bristol electronic,"rgb(181, 134, 151)",101%,1016px,2001px
canadian experimental,"rgb(114, 128, 168)",100%,267px,10835px
industrial techno,"rgb(194, 134, 210)",100%,1020px,1119px
swedish house,"rgb(172, 139, 164)",101%,1227px,1046px
dutch house,"rgb(210, 122, 97)",105%,976px,1393px
danish electropop,"rgb(152, 145, 80)",101%,842px,3402px
greek indie rock,"rgb(163, 133, 109)",100%,542px,4980px
venezuelan indie,"rgb(172, 132, 50)",101%,803px,3577px
krautrock,"rgb(132, 132, 140)",101%,490px,10196px
sound team,"rgb(150, 129, 175)",101%,353px,4087px
acid techno,"rgb(190, 139, 205)",100%,1148px,797px
nu electro,"rgb(192, 134, 156)",100%,1098px,1380px
acid trance,"rgb(189, 132, 190)",100%,1010px,1244px
kinderchor,"rgb(100, 159, 28)",100%,855px,9330px
organetto,"rgb(143, 146, 133)",100%,1066px,8767px
baltic folk,"rgb(118, 150, 74)",100%,707px,8545px
chip hop,"rgb(171, 126, 74)",100%,871px,4963px
pinoy traditional,"rgb(123, 139, 108)",100%,930px,10414px
classical percussion,"rgb(54, 159, 172)",100%,715px,14050px
kent indie,"rgb(170, 121, 41)",100%,606px,7019px
deep latin alternative,"rgb(162, 133, 58)",101%,693px,5501px
classic progressive house,"rgb(193, 132, 175)",100%,1079px,1107px
chillwave,"rgb(162, 136, 106)",107%,556px,4523px
fan chant,"rgb(172, 74, 113)",100%,389px,12143px
harmonikka,"rgb(86, 157, 91)",100%,751px,12032px
dusseldorf indie,"rgb(180, 118, 86)",100%,619px,4721px
chill lounge,"rgb(144, 154, 167)",101%,902px,3251px
synth funk,"rgb(163, 119, 45)",102%,1007px,4034px
trallalero,"rgb(78, 139, 7)",100%,503px,15924px
musique guadeloupe,"rgb(190, 134, 14)",101%,1033px,3677px
indonesian shoegaze,"rgb(181, 126, 130)",100%,235px,4931px
classical guitar quartet,"rgb(38, 168, 221)",100%,991px,15825px
indian classical,"rgb(118, 138, 68)",100%,684px,14038px
historic orchestral performance,"rgb(52, 144, 141)",100%,289px,16120px
salsa cristiana,"rgb(179, 141, 9)",100%,1018px,7423px
cosmic american,"rgb(133, 130, 37)",103%,693px,10949px
novos talentos brasileiros,"rgb(136, 144, 3)",100%,755px,9172px
forro,"rgb(192, 134, 5)",106%,941px,6640px
little rock indie,"rgb(162, 132, 20)",100%,465px,7880px
idol rock,"rgb(226, 99, 35)",102%,393px,2164px
manchester indie,"rgb(177, 124, 32)",101%,385px,5319px
south african rock,"rgb(180, 124, 17)",102%,425px,4177px
singaporean singer-songwriter,"rgb(115, 153, 13)",101%,579px,9988px
carimbo,"rgb(182, 132, 13)",101%,861px,5971px
swedish garage rock,"rgb(214, 92, 31)",101%,295px,6981px
austin rock,"rgb(193, 110, 62)",100%,382px,6796px
rap feminino nacional,"rgb(160, 140, 3)",101%,1064px,7046px
folclore extremeno,"rgb(133, 134, 21)",100%,896px,10049px
deep folk metal,"rgb(208, 94, 78)",100%,222px,5586px
hungarian black metal,"rgb(210, 76, 146)",100%,125px,6147px
detroit trap,"rgb(165, 141, 2)",103%,1040px,4059px
hokkien pop,"rgb(117, 156, 3)",100%,542px,9564px
baltic classical,"rgb(25, 163, 125)",100%,240px,16022px
spanish blues,"rgb(163, 129, 37)",100%,758px,8303px
deep swedish rock,"rgb(199, 107, 21)",100%,376px,5345px
ectofolk,"rgb(104, 154, 11)",102%,629px,10998px
ghazal,"rgb(119, 138, 34)",101%,702px,12917px
musica canaria,"rgb(140, 143, 13)",101%,801px,11111px
xhosa,"rgb(108, 143, 8)",100%,801px,11406px
kentucky indie,"rgb(147, 137, 26)",102%,553px,8754px
street band,"rgb(171, 119, 99)",100%,857px,8253px
string band,"rgb(108, 155, 57)",100%,851px,12488px
classical piano,"rgb(33, 162, 213)",101%,524px,16384px
morna,"rgb(147, 143, 15)",101%,932px,8366px
second line,"rgb(165, 118, 78)",100%,884px,8496px
nu metal,"rgb(216, 91, 39)",117%,343px,4270px
celtic punk,"rgb(207, 106, 18)",102%,382px,6233px
alabama rap,"rgb(162, 143, 3)",102%,1057px,3897px
tex-mex,"rgb(168, 139, 7)",101%,1027px,6983px
new york drill,"rgb(157, 142, 4)",102%,1124px,5013px
manchester hip hop,"rgb(165, 134, 14)",102%,1053px,7361px
swiss trap,"rgb(141, 152, 12)",100%,1138px,4446px
jazz fusion,"rgb(100, 141, 101)",104%,838px,12983px
neo-singer-songwriter,"rgb(120, 153, 11)",103%,650px,9340px
soda pop,"rgb(125, 130, 12)",100%,608px,12068px
j-division,"rgb(204, 115, 27)",103%,511px,2691px
math rock latinoamericano,"rgb(190, 119, 148)",100%,366px,7815px
singaporean metal,"rgb(227, 56, 100)",100%,222px,7998px
korean punk,"rgb(219, 88, 32)",100%,347px,6147px
canberra indie,"rgb(159, 128, 39)",100%,445px,8642px
hindustani vocal,"rgb(101, 143, 61)",100%,471px,13997px
nueva ola peruana,"rgb(161, 132, 34)",100%,593px,10862px
punk colombiano,"rgb(221, 94, 15)",100%,433px,4967px
deep melodic metalcore,"rgb(224, 83, 38)",100%,275px,4894px
canadian rockabilly,"rgb(158, 112, 14)",100%,690px,10962px
rap tunisien,"rgb(160, 145, 14)",103%,1038px,5960px
cape breton indie,"rgb(142, 145, 9)",100%,593px,7541px
samba reggae,"rgb(189, 114, 7)",101%,916px,6035px
japanese emo,"rgb(191, 109, 45)",103%,304px,6024px
samba-rock,"rgb(167, 125, 13)",101%,908px,8278px
rap baiano,"rgb(160, 139, 5)",102%,1079px,7373px
york indie,"rgb(172, 125, 20)",101%,341px,7203px
italian pop rock,"rgb(165, 136, 5)",102%,547px,5258px
birmingham grime,"rgb(184, 132, 18)",102%,1023px,7096px
kentucky metal,"rgb(209, 82, 91)",100%,242px,7986px
rap marseille,"rgb(184, 131, 8)",105%,1075px,6415px
coupe decale,"rgb(196, 123, 12)",100%,1042px,4371px
italian power metal,"rgb(215, 98, 26)",100%,233px,4111px
finnish metal,"rgb(217, 98, 57)",103%,217px,3703px
british grindcore,"rgb(228, 40, 127)",100%,115px,8479px
salsa peruana,"rgb(192, 141, 3)",102%,1049px,8002px
brazilian grindcore,"rgb(234, 39, 105)",100%,136px,8336px
technical black metal,"rgb(212, 48, 157)",100%,50px,8802px
mexican black metal,"rgb(216, 60, 125)",100%,74px,8626px
cueca chilena,"rgb(157, 124, 3)",100%,781px,9786px
symphonic metal,"rgb(201, 107, 44)",103%,217px,4943px
norwegian black metal,"rgb(214, 59, 131)",101%,77px,7949px
nu jazz,"rgb(162, 136, 107)",106%,1014px,3082px
dark jazz,"rgb(90, 145, 178)",100%,349px,10719px
swiss pop,"rgb(180, 132, 47)",101%,808px,3079px
early synthpop,"rgb(177, 121, 83)",101%,890px,2296px
australian children's music,"rgb(120, 142, 8)",102%,1062px,8502px
italian trance,"rgb(212, 127, 168)",100%,914px,732px
indie veneto,"rgb(191, 116, 60)",100%,551px,4414px
experimental jazz,"rgb(137, 134, 149)",100%,627px,8987px
indietronica,"rgb(170, 136, 72)",114%,696px,3466px
minnesota hip hop,"rgb(145, 136, 45)",104%,888px,7864px
synth punk,"rgb(195, 99, 89)",101%,471px,4671px
stubenmusik,"rgb(70, 173, 157)",100%,1075px,14188px
kids dance party,"rgb(114, 154, 36)",100%,949px,7649px
vintage italian soundtrack,"rgb(81, 153, 157)",102%,413px,12487px
olympia wa indie,"rgb(157, 119, 80)",101%,577px,9414px
experimental,"rgb(130, 120, 99)",103%,565px,11333px
swiss jazz,"rgb(92, 141, 144)",100%,803px,12315px
bernu dziesmas,"rgb(119, 152, 38)",100%,940px,7698px
microhouse,"rgb(149, 145, 189)",104%,1066px,2193px
ukrainian electronic,"rgb(187, 141, 186)",100%,1138px,885px
indie soul,"rgb(151, 140, 84)",112%,980px,4577px
tanzlmusi,"rgb(67, 170, 144)",100%,1073px,14351px
deep deep tech house,"rgb(187, 138, 196)",100%,1328px,536px
detske pisnicky,"rgb(87, 138, 11)",100%,1016px,11844px
electroacoustic improvisation,"rgb(88, 118, 129)",100%,391px,12105px
chinese traditional,"rgb(59, 154, 182)",100%,291px,13469px
exotica,"rgb(94, 142, 123)",101%,660px,12905px
french dnb,"rgb(210, 133, 154)",100%,930px,1725px
rave,"rgb(209, 114, 134)",102%,810px,1249px
nordic soundtrack,"rgb(68, 155, 187)",101%,302px,11220px
destroy techno,"rgb(193, 129, 144)",102%,1127px,1294px
bass trip,"rgb(148, 135, 72)",100%,947px,6124px
er ge,"rgb(101, 148, 49)",100%,995px,8767px
yemeni traditional,"rgb(87, 147, 40)",100%,874px,14105px
antiviral pop,"rgb(171, 127, 52)",105%,814px,4279px
atmospheric sludge,"rgb(179, 113, 164)",100%,236px,8047px
electro jazz,"rgb(163, 139, 118)",102%,1023px,2503px
brazilian house,"rgb(186, 142, 139)",101%,1203px,922px
ambeat,"rgb(161, 134, 109)",101%,1001px,3918px
deep progressive trance,"rgb(190, 132, 158)",100%,922px,1343px
french indietronica,"rgb(154, 144, 81)",105%,801px,3995px
slash punk,"rgb(212, 73, 90)",100%,308px,8083px
art pop,"rgb(136, 139, 71)",113%,547px,8398px
cumbia ecuatoriana,"rgb(146, 145, 18)",100%,1064px,8327px
boogaloo,"rgb(156, 130, 40)",102%,1047px,11053px
ugandan pop,"rgb(193, 134, 8)",100%,1073px,4134px
slovak metal,"rgb(220, 88, 88)",100%,247px,5574px
bandinhas,"rgb(208, 123, 5)",101%,940px,4059px
portuguese death metal,"rgb(216, 76, 142)",100%,208px,5644px
african metal,"rgb(212, 94, 86)",100%,275px,5090px
mento,"rgb(140, 123, 19)",100%,1150px,11454px
finnish alternative rock,"rgb(196, 114, 27)",101%,360px,3811px
kritika,"rgb(123, 150, 32)",100%,627px,12832px
modern power pop,"rgb(191, 115, 27)",103%,349px,5475px
rap montrealais,"rgb(154, 146, 7)",101%,1066px,5848px
ugandan traditional,"rgb(102, 140, 47)",100%,1047px,13090px
battle rap,"rgb(184, 116, 4)",101%,986px,7624px
vintage swoon,"rgb(141, 132, 14)",100%,589px,11606px
folk-pop,"rgb(134, 145, 9)",108%,596px,8542px
screamo,"rgb(212, 95, 32)",106%,286px,5326px
spanish pop rock,"rgb(184, 131, 4)",106%,687px,4521px
nz folk,"rgb(114, 150, 20)",101%,591px,10986px
melodic power metal,"rgb(215, 98, 36)",100%,273px,3574px
neon pop punk,"rgb(198, 116, 7)",104%,391px,3168px
belarusian metal,"rgb(212, 87, 128)",100%,185px,4705px
thai metal,"rgb(215, 89, 38)",100%,347px,4246px
slavic metal,"rgb(206, 91, 99)",100%,178px,6013px
musica menorquina,"rgb(124, 143, 23)",100%,760px,11099px
korean classical performance,"rgb(36, 166, 164)",100%,378px,15643px
comedienne,"rgb(141, 91, 5)",100%,1102px,14533px
indian singer-songwriter,"rgb(113, 155, 20)",101%,702px,8840px
german indie folk,"rgb(120, 150, 17)",101%,707px,9147px
swedish fiddle,"rgb(72, 175, 89)",100%,419px,14662px
soul jazz,"rgb(90, 145, 95)",104%,904px,13672px
iraqi pop,"rgb(166, 128, 19)",101%,770px,8192px
irish neo-traditional,"rgb(109, 162, 49)",100%,542px,12154px
folklore peruano,"rgb(144, 141, 16)",100%,965px,10822px
eritrean pop,"rgb(163, 134, 20)",100%,865px,7301px
acoustic pop,"rgb(123, 149, 12)",108%,563px,9290px
melodic progressive metal,"rgb(203, 110, 37)",100%,289px,4619px
japanese punk rock,"rgb(224, 85, 19)",102%,315px,5240px
musica maranhense,"rgb(154, 134, 3)",101%,880px,8864px
barnsagor,"rgb(75, 114, 2)",101%,1305px,12263px
pei indie,"rgb(126, 148, 14)",100%,551px,10099px
lovecraftian metal,"rgb(210, 81, 137)",100%,165px,7091px
vintage radio show,"rgb(71, 111, 12)",100%,1327px,12294px
dutch drill,"rgb(156, 144, 18)",101%,1189px,4617px
classical mezzo-soprano,"rgb(45, 157, 20)",100%,409px,16022px
argentine heavy metal,"rgb(214, 98, 34)",101%,336px,6513px
african gospel,"rgb(177, 130, 9)",101%,859px,8703px
british math rock,"rgb(183, 120, 109)",100%,455px,9056px
contemporary folk,"rgb(81, 157, 13)",100%,808px,12104px
anthem worship,"rgb(149, 141, 16)",107%,360px,6257px
spanish punk,"rgb(221, 92, 15)",102%,447px,5265px
norwegian americana,"rgb(128, 146, 13)",100%,544px,10444px
kentucky mountain folk,"rgb(76, 154, 48)",100%,916px,14856px
new jersey punk,"rgb(215, 84, 33)",101%,321px,7839px
bluegrass,"rgb(108, 150, 38)",102%,865px,11714px
canadian stoner rock,"rgb(207, 101, 94)",100%,197px,8442px
russian power metal,"rgb(218, 101, 28)",100%,278px,3301px
brutal death metal,"rgb(234, 55, 131)",101%,180px,8195px
cascadian black metal,"rgb(179, 92, 178)",100%,60px,8688px
metalcore,"rgb(230, 81, 32)",109%,228px,4005px
baltic choir,"rgb(30, 156, 55)",100%,113px,16328px
brazilian doom metal,"rgb(178, 113, 114)",100%,150px,8577px
gymcore,"rgb(217, 103, 12)",103%,264px,2584px
punk euskera,"rgb(222, 93, 36)",100%,492px,4221px
kwaito,"rgb(171, 133, 32)",101%,963px,4235px
german house,"rgb(167, 148, 155)",102%,1259px,860px
classical accordion,"rgb(71, 156, 96)",100%,569px,14081px
cape town indie,"rgb(173, 132, 46)",101%,783px,3314px
australian dance,"rgb(193, 126, 61)",107%,851px,1977px
uae indie,"rgb(172, 131, 52)",100%,718px,4534px
polish reggae,"rgb(186, 124, 19)",101%,865px,3971px
icelandic experimental,"rgb(97, 145, 107)",101%,349px,10529px
polish experimental,"rgb(123, 128, 161)",100%,359px,10393px
scorecore,"rgb(86, 150, 186)",107%,302px,10070px
electro,"rgb(175, 120, 82)",104%,1173px,1976px
disney,"rgb(80, 146, 85)",104%,484px,12574px
wind ensemble,"rgb(68, 138, 185)",100%,505px,14748px
santa fe indie,"rgb(132, 142, 79)",100%,558px,9105px
uk dance,"rgb(199, 129, 56)",109%,986px,1530px
neotango,"rgb(133, 145, 93)",100%,945px,5661px
therapy,"rgb(46, 79, 199)",100%,213px,12358px
spanish baroque,"rgb(36, 167, 121)",100%,538px,15593px
indie boliviano,"rgb(154, 139, 62)",100%,770px,5057px
finnish techno,"rgb(177, 132, 207)",100%,1071px,1368px
modular synth,"rgb(113, 148, 194)",100%,540px,10184px
irish experimental electronic,"rgb(157, 134, 176)",100%,776px,4118px
blaskapelle,"rgb(101, 141, 144)",100%,825px,13555px
mexican edm,"rgb(195, 134, 112)",101%,1073px,1580px
romantico,"rgb(94, 163, 172)",101%,823px,11061px
bass house,"rgb(206, 123, 112)",105%,1189px,1231px
space age pop,"rgb(102, 139, 127)",101%,753px,12703px
classic italian folk pop,"rgb(139, 144, 37)",100%,776px,8471px
throat singing,"rgb(99, 143, 61)",100%,455px,12380px
vbs,"rgb(116, 151, 13)",101%,878px,6780px
siberian folk,"rgb(113, 139, 47)",100%,522px,11837px
icelandic pop,"rgb(132, 141, 39)",103%,684px,7801px
french jazz,"rgb(88, 143, 147)",101%,993px,13835px
shibuya-kei,"rgb(168, 128, 59)",102%,751px,4926px
glee club,"rgb(140, 139, 30)",103%,608px,6882px
progressive breaks,"rgb(184, 144, 203)",100%,1093px,693px
spirituals,"rgb(64, 148, 20)",100%,624px,15265px
laboratorio,"rgb(77, 142, 131)",101%,457px,13284px
bangladeshi indie,"rgb(151, 135, 37)",100%,723px,5876px
boy pop,"rgb(130, 141, 18)",100%,728px,8434px
latin soundtrack,"rgb(69, 156, 172)",101%,321px,12164px
hardcore techno,"rgb(223, 101, 98)",103%,748px,1487px
classic latvian pop,"rgb(112, 141, 41)",100%,786px,10594px
karaoke,"rgb(129, 152, 117)",100%,859px,2752px
ethereal gothic,"rgb(153, 136, 85)",100%,447px,5283px
p funk,"rgb(172, 109, 39)",101%,957px,5606px
munich electronic,"rgb(178, 141, 168)",100%,1256px,984px
vintage reggae,"rgb(166, 130, 34)",100%,1095px,4768px
acousmatic,"rgb(64, 123, 125)",100%,465px,14296px
iranian experimental,"rgb(104, 136, 175)",100%,308px,11420px
zouk,"rgb(188, 141, 17)",101%,999px,2211px
skiffle,"rgb(143, 128, 38)",100%,940px,11344px
trap cristiano,"rgb(178, 142, 1)",100%,1033px,5384px
new jersey hardcore,"rgb(217, 83, 32)",101%,317px,8553px
brazilian stoner rock,"rgb(204, 101, 78)",100%,300px,7005px
country road,"rgb(163, 136, 2)",117%,584px,5078px
turkish folk,"rgb(125, 144, 19)",104%,611px,11850px
vancouver punk,"rgb(219, 87, 40)",101%,310px,6747px
pop punk,"rgb(211, 102, 10)",116%,357px,3823px
rwandan hip hop,"rgb(159, 143, 8)",100%,1047px,7548px
avant-garde jazz,"rgb(86, 143, 102)",101%,788px,13860px
carnatic instrumental,"rgb(134, 134, 133)",100%,847px,13400px
boogie-woogie,"rgb(98, 138, 93)",100%,1053px,14059px
swedish jazz orkester,"rgb(94, 144, 107)",100%,926px,13309px
marrabenta,"rgb(164, 133, 22)",100%,970px,7989px
dansband,"rgb(174, 131, 11)",103%,606px,5562px
country pop,"rgb(169, 136, 2)",108%,544px,4696px
tempe indie,"rgb(184, 121, 19)",101%,411px,5209px
burkinabe pop,"rgb(166, 136, 19)",100%,1047px,7864px
garifuna folk,"rgb(172, 124, 19)",100%,941px,7803px
soca,"rgb(188, 132, 5)",103%,1086px,5833px
swiss black metal,"rgb(212, 79, 124)",100%,173px,5302px
tango cancion,"rgb(76, 150, 33)",100%,904px,15600px
jazz metal,"rgb(183, 107, 121)",101%,304px,7430px
cuento infantile,"rgb(88, 134, 11)",100%,1196px,13090px
western americana,"rgb(123, 143, 9)",101%,726px,11086px
folk brasileiro,"rgb(121, 152, 14)",103%,641px,9203px
salsa puertorriquena,"rgb(164, 136, 9)",104%,1027px,10222px
diy emo,"rgb(178, 118, 38)",101%,362px,6908px
rap calme,"rgb(136, 153, 5)",103%,1033px,7299px
rap maroc,"rgb(170, 135, 3)",102%,1051px,6111px
post-black metal,"rgb(183, 77, 170)",100%,83px,7998px
hoerspiel,"rgb(103, 99, 1)",110%,1283px,11768px
rap dominicano,"rgb(197, 130, 5)",104%,1192px,4072px
latin tech house,"rgb(210, 131, 202)",101%,1427px,0px
canadian modern jazz,"rgb(93, 151, 133)",100%,751px,12905px
montana roots,"rgb(115, 150, 21)",100%,715px,9737px
swiss worship,"rgb(151, 140, 11)",100%,441px,6291px
polca paraguaya,"rgb(90, 157, 94)",100%,906px,13885px
kora,"rgb(113, 151, 109)",100%,972px,12352px
monastic,"rgb(33, 170, 49)",101%,139px,15695px
technical death metal,"rgb(232, 59, 142)",101%,178px,8269px
blackened crust,"rgb(223, 51, 135)",100%,69px,8638px
brazilian heavy metal,"rgb(227, 86, 49)",100%,238px,4321px
british death metal,"rgb(227, 59, 124)",100%,157px,8022px
d-beat,"rgb(233, 44, 102)",100%,101px,7876px
icelandic black metal,"rgb(195, 90, 153)",100%,84px,6969px
christian deathcore,"rgb(228, 74, 82)",100%,219px,5191px
accordeon,"rgb(146, 141, 92)",100%,823px,9488px
experimental psych,"rgb(124, 127, 159)",100%,304px,11691px
minimal dubstep,"rgb(176, 139, 154)",100%,1022px,1964px
deep acoustic pop,"rgb(143, 142, 33)",100%,606px,6565px
mongolian pop,"rgb(164, 136, 27)",100%,861px,4341px
musica rapa nui,"rgb(117, 154, 69)",100%,772px,9749px
historic classical performance,"rgb(35, 163, 173)",100%,797px,16298px
dragspel,"rgb(106, 154, 107)",100%,821px,11283px
irish pub song,"rgb(102, 143, 11)",100%,801px,12202px
colombian rock,"rgb(184, 121, 26)",101%,774px,4704px
peruvian indie,"rgb(159, 138, 49)",101%,726px,5732px
abstract hip hop,"rgb(174, 121, 45)",102%,908px,5673px
tassie indie,"rgb(138, 138, 99)",100%,482px,9081px
tibetan pop,"rgb(119, 152, 36)",100%,616px,9365px
japanese post-rock,"rgb(160, 128, 142)",100%,393px,9130px
ebm,"rgb(201, 111, 99)",101%,680px,1539px
noise punk,"rgb(203, 71, 123)",100%,315px,8802px
language,"rgb(70, 124, 25)",100%,1046px,9910px
livetronica,"rgb(175, 139, 129)",102%,827px,3029px
classic bulgarian pop,"rgb(154, 137, 37)",100%,774px,5756px
vietnamese traditional,"rgb(68, 154, 71)",100%,790px,14167px
barnmusik,"rgb(95, 142, 33)",102%,1064px,10860px
japanese instrumental,"rgb(66, 166, 187)",102%,797px,13026px
irish dance,"rgb(105, 165, 85)",100%,880px,8379px
russian synthpop,"rgb(179, 135, 74)",100%,795px,1927px
uk post-punk,"rgb(185, 103, 70)",103%,499px,6513px
basel indie,"rgb(169, 125, 60)",100%,482px,6111px
sinaloa indie,"rgb(166, 126, 59)",100%,482px,6266px
brain waves,"rgb(38, 78, 189)",101%,74px,8913px
portuguese techno,"rgb(202, 135, 214)",100%,1242px,380px
navajo,"rgb(41, 166, 91)",100%,779px,13585px
shanty,"rgb(101, 139, 9)",100%,896px,12401px
avant-rock,"rgb(153, 110, 113)",100%,457px,9550px
estonian pop,"rgb(163, 134, 51)",101%,680px,5146px
nu age,"rgb(65, 149, 200)",101%,192px,13090px
pinoy reggae,"rgb(156, 129, 15)",102%,834px,6743px
icelandic rock,"rgb(151, 129, 38)",102%,538px,8680px
bulgarian rock,"rgb(171, 130, 35)",100%,763px,4509px
panpipe,"rgb(104, 162, 101)",100%,567px,9663px
new wave,"rgb(183, 115, 41)",112%,606px,3944px
vocal house,"rgb(201, 123, 99)",105%,1134px,848px
deutsch disney,"rgb(109, 131, 5)",101%,806px,11480px
irish contemporary classical,"rgb(50, 150, 124)",100%,338px,13145px
anthem,"rgb(80, 145, 185)",100%,461px,12595px
finnish edm,"rgb(208, 128, 141)",101%,799px,1077px
marching band,"rgb(94, 122, 185)",100%,593px,13693px
light music,"rgb(66, 148, 169)",100%,349px,14554px
indie psych-pop,"rgb(147, 138, 88)",101%,459px,8095px
grunge pop,"rgb(193, 116, 25)",100%,403px,3768px
glitchcore,"rgb(157, 147, 35)",103%,770px,3875px
uruguayan indie,"rgb(145, 141, 48)",100%,677px,7044px
italian industrial,"rgb(155, 106, 126)",100%,289px,8639px
coventry indie,"rgb(183, 111, 25)",100%,540px,3522px
meme rap,"rgb(150, 143, 21)",107%,1086px,4890px
deep techno,"rgb(173, 149, 203)",101%,1273px,718px
deep classic garage rock,"rgb(166, 123, 50)",100%,668px,7277px
police band,"rgb(131, 119, 144)",100%,275px,11669px
early french punk,"rgb(200, 101, 39)",100%,544px,6147px
new hampshire indie,"rgb(165, 128, 45)",100%,527px,7790px
strut,"rgb(184, 125, 40)",101%,984px,1939px
mexican rock,"rgb(180, 122, 31)",107%,677px,5133px
zolo,"rgb(158, 117, 54)",103%,641px,7590px
neurofunk,"rgb(225, 119, 161)",101%,947px,1381px
electropop,"rgb(170, 136, 42)",122%,774px,3014px
halftime dnb,"rgb(189, 133, 130)",100%,990px,2670px
indonesian punk,"rgb(194, 116, 44)",101%,447px,5463px
electronica argentina,"rgb(153, 141, 64)",102%,731px,4887px
bmore,"rgb(176, 124, 51)",103%,1023px,3402px
ruta destroy,"rgb(176, 137, 155)",100%,1077px,1592px
binaural,"rgb(86, 20, 193)",101%,86px,10248px
indonesian psychedelia,"rgb(142, 144, 34)",100%,603px,6958px
vocal harmony group,"rgb(70, 143, 14)",101%,920px,14416px
italian choir,"rgb(39, 166, 74)",100%,86px,16535px
swahili gospel,"rgb(167, 135, 4)",100%,763px,6829px
jug band,"rgb(65, 149, 27)",100%,1053px,15526px
danseband,"rgb(162, 138, 7)",102%,647px,6414px
psychedelic doom,"rgb(189, 114, 108)",101%,244px,8839px
punjabi pop,"rgb(196, 125, 5)",106%,999px,5793px
diy pop punk,"rgb(221, 88, 26)",100%,341px,5039px
gumbe,"rgb(171, 136, 20)",100%,1044px,6123px
kaba gaida,"rgb(115, 148, 137)",100%,265px,14231px
cumbia,"rgb(166, 141, 16)",103%,1148px,7987px
jamgrass,"rgb(142, 138, 65)",101%,812px,10149px
piedmont blues,"rgb(73, 152, 42)",101%,1091px,14813px
west african jazz,"rgb(164, 136, 41)",100%,940px,10198px
rap espanol,"rgb(167, 134, 5)",105%,1027px,8352px
norwegian punk rock,"rgb(225, 83, 28)",100%,271px,5631px
guitarra portuguesa,"rgb(107, 163, 141)",100%,849px,13425px
flamenco urbano,"rgb(189, 129, 2)",103%,1051px,4830px
swedish country,"rgb(160, 138, 5)",102%,608px,6590px
highlife,"rgb(174, 129, 24)",101%,1036px,8615px
cumbia ranchera,"rgb(183, 135, 2)",102%,957px,5237px
autonomous black metal,"rgb(180, 81, 167)",100%,93px,8467px
rave funk,"rgb(186, 124, 9)",102%,1347px,5146px
contemporary post-bop,"rgb(84, 146, 107)",104%,892px,14130px
makossa,"rgb(190, 127, 26)",100%,967px,6110px
nyhc,"rgb(228, 75, 45)",101%,319px,7715px
alternative emo,"rgb(198, 106, 22)",104%,338px,5574px
korean mask singer,"rgb(138, 151, 44)",100%,478px,10135px
brazilian hardcore,"rgb(233, 73, 31)",101%,315px,7079px
griot,"rgb(155, 137, 44)",100%,1010px,8962px
rap francais,"rgb(165, 145, 3)",110%,1088px,6566px
psychedelic space rock,"rgb(166, 120, 177)",100%,169px,9105px
maskandi,"rgb(196, 132, 16)",100%,1001px,2244px
folclore santiagueno,"rgb(132, 140, 8)",101%,972px,10731px
full on,"rgb(227, 123, 185)",101%,1018px,606px
glitch,"rgb(126, 128, 156)",102%,653px,7751px
ambient dub techno,"rgb(149, 144, 207)",100%,1051px,2013px
russian electronic,"rgb(160, 141, 155)",101%,1035px,2405px
tijuana electronic,"rgb(160, 139, 168)",100%,1010px,2285px
halloween,"rgb(105, 107, 129)",100%,382px,8913px
dusseldorf electronic,"rgb(174, 130, 171)",101%,1147px,1746px
symphonic power metal,"rgb(218, 97, 24)",100%,210px,3168px
psalmen,"rgb(49, 149, 203)",100%,54px,15631px
finnish death metal,"rgb(224, 88, 99)",101%,153px,4497px
deathgrind,"rgb(234, 42, 135)",101%,139px,8503px
progressive technical death metal,"rgb(226, 77, 138)",100%,181px,7369px
cello,"rgb(85, 154, 139)",101%,384px,11823px
modern electroacoustic,"rgb(86, 136, 149)",100%,286px,11971px
k-rock,"rgb(188, 115, 32)",100%,499px,5185px
finnish indie,"rgb(156, 132, 52)",101%,560px,7739px
cdmx indie,"rgb(162, 134, 49)",100%,535px,5054px
brighton indie,"rgb(170, 125, 56)",102%,461px,6221px
beatboxing,"rgb(173, 124, 42)",100%,1047px,3726px
fake,"rgb(141, 145, 92)",100%,926px,4284px
classical oboe,"rgb(39, 163, 162)",100%,372px,15086px
san antonio indie,"rgb(177, 121, 60)",100%,417px,7394px
canadian garage rock,"rgb(200, 94, 53)",100%,387px,8541px
bagpipe,"rgb(136, 124, 137)",100%,217px,10485px
classic j-rock,"rgb(186, 112, 35)",101%,560px,5283px
musica infantil,"rgb(123, 148, 28)",102%,1060px,8365px
malmo indie,"rgb(171, 124, 74)",100%,401px,6808px
madchester,"rgb(198, 106, 53)",105%,429px,4371px
american post-rock,"rgb(134, 143, 192)",101%,328px,9117px
aghani lil-atfal,"rgb(132, 143, 27)",100%,1060px,8440px
deep groove house,"rgb(208, 123, 112)",107%,1192px,810px
sunset lounge,"rgb(149, 148, 177)",100%,1169px,1758px
jazz rap,"rgb(165, 119, 46)",103%,1111px,5212px
